filename,recommend_1_brand,recommend_1_product,recommend_1_hex,recommend_1_deltaE,recommend_2_brand,recommend_2_product,recommend_2_hex,recommend_2_deltaE,recommend_3_brand,recommend_3_product,recommend_3_hex,recommend_3_deltaE
black (1).jpg,L'Oréal,Infalliable,deb09e,1.88,Make Up For Ever,Ultra HD,dca795,1.88,L'Oréal,True Match,dcb29a,1.88
black (10).jpg,Make Up For Ever,Ultra HD,daad90,1.56,Make Up For Ever,Ultra HD,d4a689,1.56,MAC,Studio Fix,d1a88a,1.56
black (100).jpg,Make Up For Ever,Ultra HD,d8ab8b,1.05,Make Up For Ever,Ultra HD,daad90,1.05,Make Up For Ever,Ultra HD,d4a689,1.05
black (101).jpg,Maybelline,Fit Me,bd9584,10.08,L'Oréal,Infalliable,d1a396,10.08,Maybelline,Fit Me,c1a07e,10.08
black (102).jpg,L'Oréal,Infalliable,d1a396,3.68,Make Up For Ever,Ultra HD,dca795,3.68,L'Oréal,Infalliable,deb09e,3.68
black (103).jpg,Maybelline,Fit Me,bd9584,7.81,L'Oréal,Infalliable,d1a396,7.81,Make Up For Ever,Ultra HD,dcb59c,7.81
black (104).jpg,MAC,Studio Fix,d1a88a,1.52,Make Up For Ever,Ultra HD,daad90,1.52,MAC,Studio Fix,d5b293,1.52
black (105).jpg,Make Up For Ever,Ultra HD,d79e89,3.01,Make Up For Ever,Ultra HD,c99980,3.01,Make Up For Ever,Ultra HD,dca795,3.01
black (106).jpg,Make Up For Ever,Ultra HD,d4a689,1.74,MAC,Studio Fix,d1a88a,1.74,Make Up For Ever,Ultra HD,d9a586,1.74
black (107).jpg,Maybelline,Fit Me,bd9584,11.0,L'Oréal,Infalliable,d1a396,11.0,MAC,Studio Fix,dcbca2,11.0
black (108).jpg,Make Up For Ever,Ultra HD,d9a586,2.21,Make Up For Ever,Ultra HD,d4a689,2.21,Make Up For Ever,Ultra HD,d8ab8b,2.21
black (109).jpg,Make Up For Ever,Ultra HD,dcb59c,3.79,MAC,Studio Fix,d5b293,3.79,MAC,Studio Fix,dcbca2,3.79
black (11).jpg,L'Oréal,Infalliable,d1a396,9.51,Maybelline,Fit Me,bd9584,9.51,Make Up For Ever,Ultra HD,dcb59c,9.51
black (110).jpg,L'Oréal,Infalliable,deb09e,2.69,Make Up For Ever,Ultra HD,dca795,2.69,L'Oréal,True Match,dcb29a,2.69
black (111).jpg,Make Up For Ever,Ultra HD,c99980,2.79,Make Up For Ever,Ultra HD,d4a689,2.79,L'Oréal,Infalliable,cf9c7d,2.79
black (112).jpg,L'Oréal,Infalliable,d1a396,9.51,Maybelline,Fit Me,bd9584,9.51,Make Up For Ever,Ultra HD,dcb59c,9.51
black (113).jpg,Make Up For Ever,Ultra HD,d9a586,1.03,Make Up For Ever,Ultra HD,d4a689,1.03,Make Up For Ever,Ultra HD,d8ab8b,1.03
black (114).jpg,L'Oréal,Infalliable,d1a396,2.43,Maybelline,Fit Me,bd9584,2.43,Make Up For Ever,Ultra HD,dca795,2.43
black (115).jpg,Make Up For Ever,Ultra HD,d9a586,2.0,Make Up For Ever,Ultra HD,d4a689,2.0,L'Oréal,Infalliable,cf9c7d,2.0
black (116).jpg,MAC,Studio Fix,d1a88a,3.14,Make Up For Ever,Ultra HD,dcb59c,3.14,L'Oréal,True Match,dcb29a,3.14
black (117).jpg,MAC,Studio Fix,d1a88a,4.13,Make Up For Ever,Ultra HD,daad90,4.13,Make Up For Ever,Ultra HD,dcb59c,4.13
black (118).jpg,MAC,Studio Fix,d1a88a,2.84,Make Up For Ever,Ultra HD,d4a689,2.84,Make Up For Ever,Ultra HD,daad90,2.84
black (119).jpg,Make Up For Ever,Ultra HD,dca795,4.19,L'Oréal,Infalliable,deb09e,4.19,L'Oréal,True Match,dcb29a,4.19
black (12).jpg,Make Up For Ever,Ultra HD,d79e89,2.92,Make Up For Ever,Ultra HD,dca795,2.92,Make Up For Ever,Ultra HD,d9a586,2.92
black (120).jpg,L'Oréal,Infalliable,d1a396,1.08,Make Up For Ever,Ultra HD,dca795,1.08,L'Oréal,Infalliable,deb09e,1.08
black (121).jpg,Make Up For Ever,Ultra HD,dcb59c,6.44,L'Oréal,Infalliable,d1a396,6.44,MAC,Studio Fix,dcbca2,6.44
black (122).jpg,Maybelline,Fit Me,c1a07e,7.41,Make Up For Ever,Ultra HD,dcb59c,7.41,MAC,Studio Fix,d5b293,7.41
black (123).jpg,Make Up For Ever,Ultra HD,dcb59c,5.87,MAC,Studio Fix,d1a88a,5.87,L'Oréal,True Match,dcb29a,5.87
black (124).jpg,MAC,Studio Fix,d1a88a,2.64,Maybelline,Fit Me,c1a07e,2.64,MAC,Studio Fix,d5b293,2.64
black (125).jpg,Make Up For Ever,Ultra HD,daad90,2.84,Make Up For Ever,Ultra HD,e3b296,2.84,L'Oréal,True Match,dcb29a,2.84
black (13).jpg,Maybelline,Fit Me,c1a07e,7.41,Make Up For Ever,Ultra HD,dcb59c,7.41,MAC,Studio Fix,d5b293,7.41
black (14).jpg,MAC,Studio Fix,d1a88a,2.64,Maybelline,Fit Me,c1a07e,2.64,MAC,Studio Fix,d5b293,2.64
black (15).jpg,Make Up For Ever,Ultra HD,d69b81,5.48,L'Oréal,Infalliable,e5ad8b,5.48,Make Up For Ever,Ultra HD,d19578,5.48
black (16).jpg,L'Oréal,Infalliable,d1a396,3.03,Make Up For Ever,Ultra HD,dca795,3.03,Make Up For Ever,Ultra HD,d79e89,3.03
black (17).jpg,L'Oréal,Infalliable,d1a396,5.24,Maybelline,Fit Me,bd9584,5.24,L'Oréal,Infalliable,deb09e,5.24
black (18).jpg,MAC,Studio Fix,d1a88a,4.13,Make Up For Ever,Ultra HD,daad90,4.13,Make Up For Ever,Ultra HD,dcb59c,4.13
black (19).jpg,Make Up For Ever,Ultra HD,d8ab8b,1.24,Make Up For Ever,Ultra HD,d4a689,1.24,Make Up For Ever,Ultra HD,daad90,1.24
black (2).jpg,Make Up For Ever,Ultra HD,dcb59c,7.21,MAC,Studio Fix,dcbca2,7.21,L'Oréal,Infalliable,d1a396,7.21
black (20).jpg,L'Oréal,Infalliable,e5ad8b,1.27,Make Up For Ever,Ultra HD,d9a586,1.27,Make Up For Ever,Ultra HD,e7b391,1.27
black (21).jpg,L'Oréal,Infalliable,d1a396,3.62,Make Up For Ever,Ultra HD,dca795,3.62,L'Oréal,Infalliable,deb09e,3.62
black (22).jpg,Make Up For Ever,Ultra HD,dca795,2.05,L'Oréal,Infalliable,deb09e,2.05,L'Oréal,Infalliable,d1a396,2.05
black (23).jpg,L'Oréal,Infalliable,d1a396,8.58,Maybelline,Fit Me,bd9584,8.58,Make Up For Ever,Ultra HD,dcb59c,8.58
black (24).jpg,Make Up For Ever,Ultra HD,d8ab8b,1.24,MAC,Studio Fix,d5ad89,1.24,Make Up For Ever,Ultra HD,e3b391,1.24
black (25).jpg,L'Oréal,Infalliable,d1a396,4.2,Maybelline,Fit Me,bd9584,4.2,L'Oréal,Infalliable,deb09e,4.2
black (26).jpg,Make Up For Ever,Ultra HD,e3b296,2.35,Make Up For Ever,Ultra HD,daad90,2.35,Make Up For Ever,Ultra HD,d4a689,2.35
black (27).jpg,NARS,Velvet Matte,dfa575,3.14,NARS,Velvet Matte,e4aa7c,3.14,NARS,Velvet Matte,dd9e6d,3.14
black (28).jpg,L'Oréal,Infalliable,d1a396,2.43,Maybelline,Fit Me,bd9584,2.43,Make Up For Ever,Ultra HD,dca795,2.43
black (29).jpg,Make Up For Ever,Ultra HD,d8ab8b,1.5,Make Up For Ever,Ultra HD,e3b391,1.5,Make Up For Ever,Ultra HD,daad90,1.5
black (3).jpg,L'Oréal,Infalliable,deb09e,3.22,L'Oréal,True Match,dcb29a,3.22,L'Oréal,Infalliable,d1a396,3.22
black (30).jpg,L'Oréal,Infalliable,d1a396,2.27,Make Up For Ever,Ultra HD,dca795,2.27,Make Up For Ever,Ultra HD,d79e89,2.27
black (31).jpg,Make Up For Ever,Ultra HD,d9a586,2.0,Make Up For Ever,Ultra HD,d4a689,2.0,L'Oréal,Infalliable,cf9c7d,2.0
black (32).jpg,Maybelline,Fit Me Matte,d69c74,3.16,Make Up For Ever,Ultra HD,d19578,3.16,Make Up For Ever,Ultra HD,d69b81,3.16
black (33).jpg,L'Oréal,Infalliable,d1a396,9.85,Maybelline,Fit Me,bd9584,9.85,MAC,Studio Fix,dcbca2,9.85
black (34).jpg,Make Up For Ever,Ultra HD,dca795,2.28,Make Up For Ever,Ultra HD,d79e89,2.28,L'Oréal,Infalliable,deb09e,2.28
black (35).jpg,L'Oréal,Infalliable,d1a396,4.24,Maybelline,Fit Me,bd9584,4.24,L'Oréal,Infalliable,deb09e,4.24
black (36).jpg,L'Oréal,Infalliable,d1a396,2.83,Make Up For Ever,Ultra HD,dca795,2.83,L'Oréal,Infalliable,deb09e,2.83
black (37).jpg,Make Up For Ever,Ultra HD,dcb59c,4.42,L'Oréal,Infalliable,deb09e,4.42,L'Oréal,True Match,dcb29a,4.42
black (38).jpg,Make Up For Ever,Ultra HD,d4a689,1.14,Make Up For Ever,Ultra HD,daad90,1.14,MAC,Studio Fix,d1a88a,1.14
black (39).jpg,Make Up For Ever,Ultra HD,daad90,2.02,Make Up For Ever,Ultra HD,d4a689,2.02,Make Up For Ever,Ultra HD,e3b296,2.02
black (4).jpg,Maybelline,Fit Me,bd9584,11.0,L'Oréal,Infalliable,d1a396,11.0,MAC,Studio Fix,dcbca2,11.0
black (40).jpg,Make Up For Ever,Ultra HD,d8ab8b,0.84,Make Up For Ever,Ultra HD,d4a689,0.84,MAC,Studio Fix,d1a88a,0.84
black (41).jpg,Make Up For Ever,Ultra HD,d79e89,2.23,Make Up For Ever,Ultra HD,d69b81,2.23,Make Up For Ever,Ultra HD,d59682,2.23
black (42).jpg,L'Oréal,Infalliable,d1a396,6.98,Maybelline,Fit Me,e1bba7,6.98,L'Oréal,Infalliable,deb09e,6.98
black (43).jpg,Make Up For Ever,Ultra HD,dca795,2.03,Make Up For Ever,Ultra HD,d79e89,2.03,Make Up For Ever,Ultra HD,e3b296,2.03
black (44).jpg,Make Up For Ever,Ultra HD,dca795,2.0,L'Oréal,Infalliable,deb09e,2.0,L'Oréal,True Match,dcb29a,2.0
black (45).jpg,L'Oréal,Infalliable,e5ad8b,3.28,Make Up For Ever,Ultra HD,d9a586,3.28,Make Up For Ever,Ultra HD,e3b296,3.28
black (46).jpg,MAC,Studio Fix,d1a88a,2.0,Make Up For Ever,Ultra HD,daad90,2.0,MAC,Studio Fix,d5b293,2.0
black (47).jpg,Maybelline,Fit Me Matte,d69c74,3.1,Make Up For Ever,Ultra HD,d9a586,3.1,L'Oréal,Infalliable,e5ad8b,3.1
black (48).jpg,Make Up For Ever,Ultra HD,d79e89,0.59,Make Up For Ever,Ultra HD,dca795,0.59,Make Up For Ever,Ultra HD,d69b81,0.59
black (49).jpg,Make Up For Ever,Ultra HD,d79e89,3.11,Make Up For Ever,Ultra HD,d69b81,3.11,Make Up For Ever,Ultra HD,dca795,3.11
black (5).jpg,L'Oréal,Infalliable,e7ad82,2.4,L'Oréal,Infalliable,e5ad8b,2.4,NARS,Velvet Matte,e4aa7c,2.4
black (50).jpg,Make Up For Ever,Ultra HD,d69b81,2.94,Make Up For Ever,Ultra HD,d79e89,2.94,Make Up For Ever,Ultra HD,d9a586,2.94
black (51).jpg,Make Up For Ever,Ultra HD,d4a689,1.37,Make Up For Ever,Ultra HD,d8ab8b,1.37,Make Up For Ever,Ultra HD,d9a586,1.37
black (52).jpg,Make Up For Ever,Ultra HD,d9a586,2.64,Make Up For Ever,Ultra HD,d4a689,2.64,Make Up For Ever,Ultra HD,e3b296,2.64
black (53).jpg,L'Oréal,Infalliable,e5ad8b,1.62,Make Up For Ever,Ultra HD,d9a586,1.62,Make Up For Ever,Ultra HD,e7b391,1.62
black (54).jpg,L'Oréal,Infalliable,d1a396,2.54,Maybelline,Fit Me,bd9584,2.54,Make Up For Ever,Ultra HD,dca795,2.54
black (55).jpg,L'Oréal,Infalliable,e5ad8b,0.88,Make Up For Ever,Ultra HD,d9a586,0.88,Make Up For Ever,Ultra HD,e7b391,0.88
black (56).jpg,L'Oréal,Infalliable,d1a396,1.07,Make Up For Ever,Ultra HD,dca795,1.07,L'Oréal,Infalliable,deb09e,1.07
black (57).jpg,Make Up For Ever,Ultra HD,dca795,1.05,L'Oréal,Infalliable,deb09e,1.05,Make Up For Ever,Ultra HD,d79e89,1.05
black (58).jpg,L'Oréal,Infalliable,d1a396,4.14,L'Oréal,Infalliable,deb09e,4.14,Make Up For Ever,Ultra HD,dcb59c,4.14
black (59).jpg,L'Oréal,Infalliable,d1a396,4.02,Maybelline,Fit Me,bd9584,4.02,L'Oréal,Infalliable,deb09e,4.02
black (6).jpg,Make Up For Ever,Ultra HD,dca795,3.41,L'Oréal,Infalliable,d1a396,3.41,Make Up For Ever,Ultra HD,d79e89,3.41
black (60).jpg,L'Oréal,Infalliable,d1a396,6.51,L'Oréal,Infalliable,deb09e,6.51,Maybelline,Fit Me,e1bba7,6.51
black (61).jpg,Make Up For Ever,Ultra HD,dca795,2.03,L'Oréal,Infalliable,d1a396,2.03,L'Oréal,Infalliable,deb09e,2.03
black (62).jpg,L'Oréal,Infalliable,deb09e,4.33,L'Oréal,True Match,dcb29a,4.33,L'Oréal,Infalliable,d1a396,4.33
black (63).jpg,L'Oréal,Infalliable,d1a396,1.07,Make Up For Ever,Ultra HD,dca795,1.07,L'Oréal,Infalliable,deb09e,1.07
black (64).jpg,Make Up For Ever,Ultra HD,d9a586,1.43,Maybelline,Fit Me,d09e7c,1.43,L'Oréal,Infalliable,cf9c7d,1.43
black (65).jpg,Make Up For Ever,Ultra HD,d8ab8b,2.0,MAC,Studio Fix,d5ad89,2.0,Make Up For Ever,Ultra HD,d9a586,2.0
black (66).jpg,Make Up For Ever,Ultra HD,dcb59c,2.27,L'Oréal,True Match,dcb29a,2.27,Maybelline,Fit Me Matte,dcb297,2.27
black (67).jpg,L'Oréal,Infalliable,d1a396,3.43,L'Oréal,Infalliable,deb09e,3.43,Make Up For Ever,Ultra HD,dca795,3.43
black (68).jpg,MAC,Studio Fix,d5ad89,2.85,Maybelline,Fit Me,e4b38e,2.85,Make Up For Ever,Ultra HD,d8ab8b,2.85
black (69).jpg,MAC,Studio Fix,d5ad89,0.33,MAC,Studio Fix,d9b28d,0.33,MAC,Studio Fix,d2ae88,0.33
black (7).jpg,Maybelline,Fit Me,c7967d,3.18,Make Up For Ever,Ultra HD,c99980,3.18,Make Up For Ever,Ultra HD,c7977b,3.18
black (70).jpg,L'Oréal,Infalliable,d1a396,7.47,Maybelline,Fit Me,e1bba7,7.47,L'Oréal,Infalliable,deb09e,7.47
black (71).jpg,L'Oréal,Infalliable,d1a396,2.96,L'Oréal,Infalliable,deb09e,2.96,Make Up For Ever,Ultra HD,dca795,2.96
black (72).jpg,Make Up For Ever,Ultra HD,d4a689,3.17,Make Up For Ever,Ultra HD,daad90,3.17,MAC,Studio Fix,d1a88a,3.17
black (73).jpg,MAC,Studio Fix,dcbca2,5.59,Make Up For Ever,Ultra HD,dcb59c,5.59,MAC,Studio Fix,dbbc9f,5.59
black (74).jpg,L'Oréal,Infalliable,d1a396,8.58,Maybelline,Fit Me,bd9584,8.58,Make Up For Ever,Ultra HD,dcb59c,8.58
black (75).jpg,MAC,Studio Fix,d5b293,3.87,MAC,Studio Fix,d2ae88,3.87,MAC,Studio Fix,d8b593,3.87
black (76).jpg,MAC,Studio Fix,d5b293,2.57,MAC,Studio Fix,d8b593,2.57,Make Up For Ever,Ultra HD,dcb59c,2.57
black (77).jpg,Make Up For Ever,Ultra HD,e3b296,2.35,Make Up For Ever,Ultra HD,daad90,2.35,Make Up For Ever,Ultra HD,d4a689,2.35
black (78).jpg,L'Oréal,Infalliable,d1a396,3.68,L'Oréal,Infalliable,deb09e,3.68,L'Oréal,True Match,dcb29a,3.68
black (79).jpg,L'Oréal,Infalliable,e7ad82,2.19,NARS,Velvet Matte,e4aa7c,2.19,Maybelline,Fit Me,e2aa7b,2.19
black (8).jpg,Make Up For Ever,Ultra HD,d9a586,2.24,L'Oréal,Infalliable,e5ad8b,2.24,L'Oréal,Infalliable,cf9c7d,2.24
black (80).jpg,L'Oréal,Infalliable,d1a396,7.86,Maybelline,Fit Me,e1bba7,7.86,L'Oréal,Infalliable,deb09e,7.86
black (81).jpg,Maybelline,Fit Me,bd9584,6.49,L'Oréal,Infalliable,d1a396,6.49,L'Oréal,Infalliable,deb09e,6.49
black (82).jpg,Make Up For Ever,Ultra HD,dca795,2.35,Make Up For Ever,Ultra HD,e3b296,2.35,Make Up For Ever,Ultra HD,d79e89,2.35
black (83).jpg,L'Oréal,Infalliable,d1a396,2.54,Make Up For Ever,Ultra HD,dca795,2.54,Make Up For Ever,Ultra HD,d79e89,2.54
black (84).jpg,Maybelline,Fit Me,bd9584,2.0,Maybelline,Fit Me,c7967d,2.0,Make Up For Ever,Ultra HD,c99980,2.0
black (85).jpg,L'Oréal,Infalliable,d1a396,8.75,Maybelline,Fit Me,bd9584,8.75,L'Oréal,Infalliable,deb09e,8.75
black (86).jpg,Make Up For Ever,Ultra HD,d9a586,1.03,Maybelline,Fit Me,d09e7c,1.03,L'Oréal,Infalliable,cf9c7d,1.03
black (87).jpg,L'Oréal,Infalliable,d1a396,3.73,Make Up For Ever,Ultra HD,c99980,3.73,Maybelline,Fit Me,bd9584,3.73
black (88).jpg,Make Up For Ever,Ultra HD,d4a689,3.22,MAC,Studio Fix,d1a88a,3.22,Make Up For Ever,Ultra HD,daad90,3.22
black (89).jpg,L'Oréal,Infalliable,d1a396,2.57,Maybelline,Fit Me,bd9584,2.57,Make Up For Ever,Ultra HD,dca795,2.57
black (9).jpg,Make Up For Ever,Ultra HD,d9a586,3.17,Maybelline,Fit Me Matte,d69c74,3.17,L'Oréal,Infalliable,e5ad8b,3.17
black (90).jpg,MAC,Studio Fix,d5ad89,1.91,Make Up For Ever,Ultra HD,d8ab8b,1.91,Make Up For Ever,Ultra HD,d4a689,1.91
black (91).jpg,Make Up For Ever,Ultra HD,d4a689,2.46,MAC,Studio Fix,d1a88a,2.46,Make Up For Ever,Ultra HD,daad90,2.46
black (92).jpg,Make Up For Ever,Ultra HD,daad90,2.26,MAC,Studio Fix,d1a88a,2.26,L'Oréal,True Match,dcb29a,2.26
black (93).jpg,Make Up For Ever,Ultra HD,d69b81,2.37,Make Up For Ever,Ultra HD,d19578,2.37,L'Oréal,Infalliable,cf9c7d,2.37
black (94).jpg,L'Oréal,Infalliable,deb09e,2.74,L'Oréal,True Match,dcb29a,2.74,Make Up For Ever,Ultra HD,dcb59c,2.74
black (95).jpg,Make Up For Ever,Ultra HD,d4a689,2.32,MAC,Studio Fix,d1a88a,2.32,Make Up For Ever,Ultra HD,daad90,2.32
black (96).jpg,Maybelline,Fit Me,bd9584,6.16,L'Oréal,Infalliable,d1a396,6.16,Maybelline,Fit Me,c1a07e,6.16
